name,rollNo,rollCode,classLevel,stream,section,batch,subjects,password
Arjun Mehta,001,ATS.STU.10.A.260001,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Meena Patel,002,ATS.STU.10.A.260002,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Rohan Mohan,003,ATS.STU.10.A.260003,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Priya Varma,004,ATS.STU.10.A.260004,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Karan Menon,005,ATS.STU.10.A.260005,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Ananya Sharma,006,ATS.STU.10.A.260006,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Vikram Das,007,ATS.STU.10.A.260007,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Sneha Kapoor,008,ATS.STU.10.A.260008,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Aditya Singh,009,ATS.STU.10.A.260009,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Divya Pillai,010,ATS.STU.10.A.260010,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Rahul Suresh,011,ATS.STU.10.A.260011,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Pooja Iyer,012,ATS.STU.10.A.260012,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Nikhil Gupta,013,ATS.STU.10.A.260013,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Kavya Bose,014,ATS.STU.10.A.260014,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Sanjay Joshi,015,ATS.STU.10.A.260015,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Riya Chandra,016,ATS.STU.10.A.260016,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Manish Krishnan,017,ATS.STU.10.A.260017,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Ishita Nair,018,ATS.STU.10.A.260018,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Varun Reddy,019,ATS.STU.10.A.260019,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Neha Rao,020,ATS.STU.10.A.260020,10,,A,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Arjun Mehta,001,ATS.STU.10.B.260001,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Meena Patel,002,ATS.STU.10.B.260002,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Rohan Mohan,003,ATS.STU.10.B.260003,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Priya Varma,004,ATS.STU.10.B.260004,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Karan Menon,005,ATS.STU.10.B.260005,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Ananya Sharma,006,ATS.STU.10.B.260006,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Vikram Das,007,ATS.STU.10.B.260007,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Sneha Kapoor,008,ATS.STU.10.B.260008,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Aditya Singh,009,ATS.STU.10.B.260009,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
Divya Pillai,010,ATS.STU.10.B.260010,10,,B,2026,Physics|Chemistry|Biology|Math|English Core|Social Science,Student@2026
